run,proc,init_pkt,max_pkt,exec_time
1,1,100,100,442.549
1,2,100,100,283.399
1,4,100,111,251.489
1,8,100,153,301.05
1,16,100,175,250.09
1,32,100,174,163.775
1,64,100,176,160.798
1,1,10,10,426.036
1,2,10,10,315.053
1,4,10,61,258.911
1,8,10,114,229.016
1,16,10,136,189.937
1,32,10,154,164.455
1,64,10,168,158.143
1,1,1,1,426.205
1,2,1,3,369.458
1,4,1,59,258.949
1,8,1,120,227.305
1,16,1,141,176.302
1,32,1,176,252.702
1,64,1,179,159.349
1,1,25,25,426.226
1,2,25,25,329.702
1,4,25,64,254.484
1,8,25,109,234.518
1,16,25,149,201.186
1,32,25,170,164.68
1,64,25,168,159.566
1,1,2,2,426.237
1,2,2,3,372.36
1,4,2,57,279.386
1,8,2,98,169.728
1,16,2,149,255.79
1,32,2,154,162.009
1,64,2,183,161.763
1,1,50,50,425.966
1,2,50,50,296.223
1,4,50,63,206.516
1,8,50,98,159.433
1,16,50,158,197.619
1,32,50,172,162.616
1,64,50,167,159.523
2,1,100,100,426.329
2,2,100,100,283.25
2,4,100,111,231.394
2,8,100,150,230.085
2,16,100,175,249.84
2,32,100,183,163.984
2,64,100,163,158.79
2,1,10,10,426.084
2,2,10,10,315.126
2,4,10,73,239.443
2,8,10,115,246.329
2,16,10,139,169.131
2,32,10,173,252.795
2,64,10,174,158.811
2,1,1,1,426.404
2,2,1,1,367.056
2,4,1,41,228.916
2,8,1,119,257.6
2,16,1,136,170.087
2,32,1,166,160.478
2,64,1,176,159.423
2,1,25,25,426.496
2,2,25,25,330.195
2,4,25,68,253.755
2,8,25,118,239.807
2,16,25,150,201.046
2,32,25,170,164.816
2,64,25,169,159.739
2,1,2,2,426.133
2,2,2,3,367.464
2,4,2,39,224.61
2,8,2,104,230.162
2,16,2,137,259.595
2,32,2,172,163.305
2,64,2,174,159.923
2,1,50,50,426.053
2,2,50,50,296.751
2,4,50,73,263.495
2,8,50,129,175.963
2,16,50,159,197.527
2,32,50,172,162.23
2,64,50,170,158.63
3,1,100,100,426.261
3,2,100,100,283.506
3,4,100,111,231.818
3,8,100,154,274.143
3,16,100,175,250.16
3,32,100,180,169.769
3,64,100,170,160.137
3,1,10,10,426.233
3,2,10,10,315.171
3,4,10,61,258.892
3,8,10,102,221.421
3,16,10,136,170.367
3,32,10,173,252.432
3,64,10,173,158.614
3,1,1,1,423.916
3,2,1,4,364.683
3,4,1,38,233.95
3,8,1,99,162.944
3,16,1,139,170.021
3,32,1,153,160.48
3,64,1,183,162.55
3,1,25,25,426.2
3,2,25,25,329.85
3,4,25,52,287.34
3,8,25,126,283.156
3,16,25,149,201.21
3,32,25,168,225.683
3,64,25,175,159.064
3,1,2,2,426.137
3,2,2,4,332.35
3,4,2,39,224.532
3,8,2,92,188.695
3,16,2,138,173.067
3,32,2,159,160.97
3,64,2,175,162.053
3,1,50,50,426.326
3,2,50,50,296.333
3,4,50,63,206.516
3,8,50,114,209.001
3,16,50,142,191.292
3,32,50,161,160.841
3,64,50,172,160.41
4,1,100,100,424.199
4,2,100,100,282.42
4,4,100,111,232.164
4,8,100,149,230.376
4,16,100,177,174.114
4,32,100,176,226.622
4,64,100,171,159.969
4,1,10,10,424.116
4,2,10,10,313.551
4,4,10,37,238.348
4,8,10,86,160.12
4,16,10,130,169.294
4,32,10,173,252.37
4,64,10,178,158.533
4,1,1,1,440.435
4,2,1,3,371.953
4,4,1,39,224.462
4,8,1,93,167.813
4,16,1,140,170.156
4,32,1,171,168.7
4,64,1,177,245.107
4,1,25,25,423.952
4,2,25,25,328.065
4,4,25,68,253.472
4,8,25,90,169.041
4,16,25,154,238.341
4,32,25,164,162.564
4,64,25,164,161.025
4,1,2,2,423.794
4,2,2,2,365.463
4,4,2,38,233.925
4,8,2,107,168.869
4,16,2,137,259.304
4,32,2,167,163.973
4,64,2,178,166.29
4,1,50,50,425.157
4,2,50,50,294.764
4,4,50,76,263.407
4,8,50,118,164.362
4,16,50,159,197.458
4,32,50,165,161.291
4,64,50,170,159.48
5,1,100,100,427.396
5,2,100,100,282.376
5,4,100,111,231.834
5,8,100,152,276.582
5,16,100,174,249.979
5,32,100,183,163.923
5,64,100,176,159.598
5,1,10,10,423.857
5,2,10,10,313.752
5,4,10,73,234.239
5,8,10,90,180.982
5,16,10,157,267.031
5,32,10,143,162.526
5,64,10,178,166.563
5,1,1,1,424.045
5,2,1,2,367.83
5,4,1,64,268.533
5,8,1,106,232.34
5,16,1,136,170.017
5,32,1,167,161.517
5,64,1,180,247.793
5,1,25,25,426.073
5,2,25,25,329.099
5,4,25,45,245.212
5,8,25,112,241.852
5,16,25,149,191.102
5,32,25,168,225.932
5,64,25,166,159.119
5,1,2,2,423.87
5,2,2,3,365.314
5,4,2,33,228.622
5,8,2,87,159.583
5,16,2,138,173.158
5,32,2,168,163.452
5,64,2,177,158.925
5,1,50,50,426.103
5,2,50,50,294.812
5,4,50,63,206.445
5,8,50,135,235.306
5,16,50,159,197.784
5,32,50,165,163.527
5,64,50,173,158.224
